x,profit_with_discount,profit_without_discount,quantity_with_discount,quantity_without_discount
-80,0.000628709,,,
-79,0.000645135,,,
-78,0.000662209,,,
-77,0.000679964,,,
-76,0.000698435,,,
-75,0.000717663,,,
-74,0.000737689,,,
-73,0.000758556,,,
-72,0.000780312,,,
-71,0.000803008,,,
-70,0.000826698,,,
-69,0.00085144,,,
-68,0.000877298,,,
-67,0.000904337,,,
-66,0.000932631,,,
-65,0.000962257,,,
-64,0.000993299,,,
-63,0.001025847,,,
-62,0.001059999,,,
-61,0.001095861,,,
-60,0.001133546,,,
-59,0.00117318,,,
-58,0.001214895,,,
-57,0.001258838,,,
-56,0.001305167,,,
-55,0.001354056,,,
-54,0.001405691,,,
-53,0.00146028,,,
-52,0.001518046,,,
-51,0.001579236,,,
-50,0.001644119,,,
-49,0.00171299,,,
-48,0.001786176,,,
-47,0.001864034,,,
-46,0.00194696,,,
-45,0.002035389,,,
-44,0.002129804,,,
-43,0.00223074,,,
-42,0.002338789,,,
-41,0.002454612,,,
-40,0.002578941,,,
-39,0.002712596,,,
-38,0.002856491,,,
-37,0.003011649,,,
-36,0.003179215,,,
-35,0.003360475,,,
-34,0.003556874,,,
-33,0.003770037,,,
-32,0.004001795,,,
-31,0.004254211,,,
-30,0.004529613,,,
-29,0.004830627,,,
-28,0.005160215,,,
-27,0.005521714,,,
-26,0.005918882,,,
-25,0.006355933,,,
-24,0.006837575,,,
-23,0.007369039,,,
-22,0.007956083,,,
-21,0.008604969,,,
-20,0.009322382,,,
-19,0.010115275,,,
-18,0.010990592,,,
-17,0.011954818,,,
-16,0.013013289,,,
-15,0.014169199,,,
-14,0.015422203,,,
-13,0.016766597,,,
-12,0.01818907,,,
-11,0.019666221,,,
-10,0.021162227,,,
-9,0.022627373,,,
-8,0.02399844,,,
-7,0.025202026,,,
-6,0.026161449,,,
-5,0.026806866,,,
-4,0.027086743,,,
-3,0.026977563,,,
-2,0.026488584,,,
-1,0.025659946,,,
0,0.0245548,0.009597404,0.002967872,0.001323525
1,0.023248199,0.010361345,0.079155614,0.063803954
2,0.021816058,0.011195534,0.236298381,0.238320669
3,0.020326705,0.012103439,0.275710061,0.296376638
4,0.018836012,0.01308695,0.200222875,0.211250801
5,0.017385837,0.014145493,0.111923043,0.110637954
6,0.016004807,0.015274909,0.053753722,0.048422996
7,0.014710374,0.016466104,0.023595834,0.019042757
8,0.013511304,0.017703549,0.009822695,0.007026974
9,0.012410053,0.018963845,0.003968147,0.002499932
10,0.011404795,0.020214665,,
11,0.010490993,0.021414562,,
12,0.009662567,0.022514207,,
13,0.008912709,0.023459506,,
14,0.008234427,0.024196709,,
15,0.007620892,0.024679009,,
16,0.007065641,0.024873368,,
17,0.006562688,0.024765923,,
18,0.00610657,0.024364379,,
19,0.00569235,0.023696664,,
20,0.005315599,0.022806275,,
21,0.004972364,0.021745666,,
22,0.004659127,0.020569439,,
23,0.004372765,0.019328716,,
24,0.004110509,0.018067429,,
25,0.003869904,0.016820579,,
26,0.003648774,0.015614071,,
27,0.003445188,0.014465573,,
28,0.003257436,0.013385887,,
29,0.003083994,0.012380453,,
30,0.00292351,0.011450756,,
31,0.002774777,0.010595521,,
32,0.002636722,0.009811658,,
33,0.002508384,0.009094986,,
34,0.002388902,0.008440752,,
35,0.002277508,0.007843995,,
36,0.00217351,0.007299787,,
37,0.002076286,0.006803388,,
38,0.001985278,0.006350339,,
39,0.00189998,0.005936504,,
40,0.001819937,0.005558096,,
41,0.001744735,0.005211667,,
42,0.001674002,0.004894099,,
43,0.001607397,0.004602584,,
44,0.001544612,0.004334599,,
45,0.001485367,0.004087882,,
46,0.001429405,0.003860405,,
47,0.001376492,0.003650356,,
48,0.001326415,0.00345611,,
49,0.001278979,0.003276213,,
50,0.001234003,0.003109363,,
51,0.001191324,0.002954391,,
52,0.001150789,0.002810251,,
53,0.00111226,0.002676,,
54,0.001075608,0.002550792,,
55,0.001040714,0.002433864,,
56,0.001007471,0.002324531,,
57,0.000975776,0.00222217,,
58,0.000945536,0.002126222,,
59,0.000916664,0.002036179,,
60,0.00088908,0.00195158,,
61,0.00086271,0.001872009,,
62,0.000837484,0.001797084,,
63,0.000813336,0.001726462,,
64,0.000790209,0.001659826,,
65,0.000768044,0.00159689,,
66,0.000746791,0.00153739,,
67,0.0007264,0.001481088,,
68,0.000706825,0.001427761,,
69,0.000688025,0.00137721,,
70,0.000669958,0.001329247,,
71,0.000652588,0.001283703,,
72,0.00063588,0.001240421,,
73,0.000619801,0.001199255,,
74,0.000604319,0.001160073,,
75,0.000589406,0.001122751,,
76,0.000575034,0.001087174,,
77,0.000561178,0.001053238,,
78,0.000547814,0.001020845,,
79,0.000534918,0.000989903,,
80,0.000522469,0.000960329,,
81,0.000510447,0.000932043,,
82,0.000498833,0.000904974,,
83,0.000487608,0.000879054,,
84,0.000476756,0.000854218,,
85,0.00046626,0.000830408,,
86,0.000456105,0.00080757,,
87,0.000446276,0.000785651,,
88,0.00043676,0.000764603,,
89,0.000427544,0.000744381,,
90,0.000418614,0.000724943,,
91,0.00040996,0.000706249,,
92,0.000401571,0.000688263,,
93,0.000393435,0.000670949,,
94,0.000385542,0.000654274,,
95,0.000377884,0.000638208,,
96,0.000370451,0.000622721,,
97,0.000363234,0.000607787,,
98,0.000356224,0.00059338,,
99,0.000349415,0.000579475,,
100,0.000342799,0.000566049,,
101,0.000336367,0.000553081,,
102,0.000330115,0.00054055,,
103,0.000324034,0.000528437,,
104,0.000318119,0.000516725,,
105,0.000312365,0.000505394,,
106,0.000306764,0.00049443,,
107,0.000301312,0.000483817,,
108,0.000296003,0.000473539,,
109,0.000290834,0.000463584,,
110,0.000285797,0.000453937,,
111,0.000280891,0.000444586,,
112,0.000276109,0.00043552,,
113,0.000271447,0.000426727,,
114,0.000266903,0.000418195,,
115,0.000262471,0.000409916,,
116,0.000258148,0.000401879,,
117,0.000253931,0.000394075,,
118,0.000249816,0.000386494,,
119,0.0002458,0.00037913,,
